WORD_KOR WORD_ENG WORD_ENG_DESC WORD_KOR_DESC
위험회피 RA Risk Avoidance 
 QUOTE QUOTE QUOTE 
원용 QUOT quote 
 INF INF INFINITY 
의문 QUES QUESTION 
 QUALIFIER QUALIFIER QUALIFIER 
영향력 INFL INFLUENCE 
물량 QNTY the amount [quantity] of materials [resources]. 
질의응답 QNA QUESTION AND ANSWER 
 INFO INFO INFORMATION 
대분류 LCLS large classification 
창업 INGR inauguration 
 LC LC LETTER OF CREDIT 
신용장 LC letter of credit  L/C 
법정 LAWC law court 
법적 LAW law 
법령 LAW law 
 INITIAL INITIAL INITIAL 
규정 LAW LAW 
화장실 LAVA lavatory  
 LAST LAST LAST 
동거 INMT Inmate 
 LAG LAG LAG 
사다리 LADD ladder 
 COPY_T COPY_T COPY_T 
색 COO COLOR 
 INP INP INSP CERT 
 CONVENTN CONVENTN CONVENTION 
 CONV CONV CONVERSION 
 CONTRACT CONTRACT CONTRACT 
 CONTRA CONTRA CONTRA 
 INS INS INS POLICY 
약정이자 CONT_INT contract interest 
계약서 CONT contract 
구축 CONS construction 
구조 CONS construction 
보험 INSR insurance 
건축 CONS construction 
분납 INST installments 
삽입 INST insert 
축하 CONG congratulations 
지시B INST INSTRUCTED 
 CONDITION CONDITION CONDITION 
조건 COND condition 
서약 COND condition 
발의 INSTANCE INSTANCE 
생활 LIFE life 
인가 LICN license  a charter (법인 단체 설립의) 
금리 INT interest 
 LG LG letter of guarantee 
수입화물선취보증 LG letter of guarantee 
내부거래 INTD INTERNAL DEALING 
 INTER INTER INTER 
 INTEREST INTEREST INTEREST 
 INTERNAL INTERNAL INTERNAL 
 INTERVAL INTERVAL INTERVAL 
주도자 LEDR LEADER 
국제 INTL international 
강화 INTN INTENSIFY 
외출 LEAV leave 
전세권 LEAS_RGT lease_right 
 INTEROFFICE INTOFFICE INTEROFFICE 
 LEAD LEAD LEAD 
 INTRA INTRA INTRA 
제소 INTU institute 
면담 INTV interview 
 FLOOR FLOOR FLOOR 
송장 INV invoice 
 INVESTMENT INVEST INVESTMENT 
플래그 FLAG flag 
권유 INVT invite 
유치 INVT INVITATION 
혁신 INVT INNOVATION 
 FIX FIX FIX 
유치자 INVT_MN invite man 
 FINANCIAL FINANCE FINANCE 
 FINAL FINAL FINAL 
선입선출 FIFO FIRST IN FIRST OUT 
편출입 IOEN in out entry 
 FF FF FLAT FILE 
 IP IP Internet Protocol 
 FEE FEE FEE 
회비 FEE membership fee 
보수 FEE fee 
연합회 FEDR federation 
보수약정 FECN fee contract 
 FEDWIRE FDWR fedwire 
초일 FDD the first day 
마진율 MRGN_RT margin_rate 
합병 MRGR merger 
시장 MRKT market 
본기성 MRMD main ready-made 
 MORE율 MRRT more rate 
담보 MRTG mortgage 
담보부 MRTG mortgage 
담보권 MRTG_RGT mortgage right 
 MS MS MS 
감지 SNSN SENSING 
 SNP SNP STANDARD AND POOR'S 
을갑 SNF the second and the first 
 MESSAGE MSG MESSAGE 
전금 SNDM send money 
수급 SNDM supply and demand 
기간별 TMBY BY TERM 
측정 MSRM MEASUREMENT 
마스터 MSTR master 
주 MSTR master 
인수율 TKRT take rate 
상호 MTAL mutual 
직함 TIT title 
 FORFAITING FORFAIT FORFAITING 
금융기관 FORG financial organization 
서식 FORM form 
양식 FORM FORM 
형식 FORM form 
형태 FORM form 
용지번호 FORM_NO form no 
 TICK TICK TICK 
 FORWARD FORWARD FORWARD 
금회 THTM This time 
금반 THTM This time 
경유 THRU THROUGH 
 THRESHLD THRESHLD THRESHOLD 
 3행 THRB 3  BANKS 
 FRA FRA FORWARD RATE AGREEMENT 
요율 FRAT Fee Rate 
분수 FRCT fraction 
사기 FRD fraud 
태그 TAG tag 
총계정 TACT total accounts 
 FREE FREE FREE 
시스템ID SYSID SYSTEM ID 
신디케이션 SYNT SYNDICATION 
 SYNONYM SYNM SYNONYM 
신티케이트 SYND syndicate 
외채 FRLN foreign loan. 
기호 SYM symbol 
신디케이트론 SYLN syndicated loan 
외표 FRMK foreign mark 
 SW SW SWAP 
식 FRML formula  
저축 SVNG savings 
서버ID SVID SERVER ID 
 SV SV  
주제어 SUWD SUBJECT WORD 
 SUSPENSE SUSPENSE SUSPENSE 
전산소모품 SUPC computer supplies 
소모품 SUP supplies 
 SUNDAY SUNDAY SUNDAY 
 SUBSTANDARD SUBSTAND SUBSTANDARD 
청약 SUBS subscription 
제출 SUBM summit 
 SUBJECT SUBJECT SUBJECT 
주제 SUBJ subject 
안내 GUID guide 
 GUARANT GUARANT GUARANTOR 
보증처 GUAR_PLC a guarantee office 
 GUARANTEE GUAR GUARANTEE 
보증 GUAR guarantee 
보장 GUAR guarantee 
대학원 GRSC GRADUATE SCHOOL 
보증율 GRRT a guaranteed rate 
월일 MMDD month_day 
 GROUP GROUP GROUP 
수여 GRNT grant 
기념 MMRL Memorial 
물품수령증명서 GRC goods receipt certificate 
연면적 GRAR gross area 
양곡 GRAN grain 
전문명 GRAM_NM gram name 
 GRADE GRADE GRADE 
 GRACE GRACE GRACE 
 GRA GRA GRA 
 GOVNMT GOVNMT GOVERNMENT 
지배 GOV govern 
물건특징 GOSP goods special 
물건가 GODS_PR goods price 
화물 GODS goods 
물품 GODS goods 
물건 GODS goods 
월세 MMTX month tax 
물건명 GNM goods name 
건명 GNM goods name 
일반권 GNDN generally denomination 
 GN GN Global Network System 
부담율 CHRT Charge rate 
 CHARGE CHRG CHARGE 
본지사 MNBR main office & branch 
변경전 CHNG_BF CHANGE_BEFORE 
필수 MNDT mandatory 
제조업 MNFC the manufacturing industry 
담당자 CHMN Officer in charge (Man) 
관리 MNG manage 
관리역 MNGR manager 
담당반 CHDS charge desk 
담당계 CHDM charge department 
출연료 CHCT charge of contribution 
점검 CHCK CHECK 
추적 CHAS chase 
월간 MNTH month 
인격 CHAR character 
모니터 MNTR MONITOR 
문자 CHAR a letter; a character 
 CHANGE CHANGE CHANGE 
 CH CH CHAR 
결재자 CFMN confrim man 
화재 CFGR conflagration 
확인증 CFDC confirmation document 
 MODE MODE MODE 
모델 MODL Model 
배당부 CDVD cum dividend 
 CDP CDP  
코드명 CDNM code name 
 MONEY MONEY MONEY 
양도성예금증서 CD certificate of deposit 
 MONTH MONTH MONTH 
 MONTHLY MONTHLY MONTHLY 
 MONTHS MONTHS MONTHS 
 MOODY MOODY MOODY 
 FAX번호 FAXN  
이사 MOVE move 
이전B MOVE move 
 MOVE MOVE MOVE 
제기 FALS file a lawsuit 
승수 MPLR multiplier. 
하락 FALL fall 
 FACTOR FACTOR FACTOR 
 DA DA documents on acceptance 
거치후 DEFR_AF DEFERRED AFTER 
 DAILY DAILY DAILY 
 DEFERRED DEFERRED DEFERRED 
 DEF DEF DEFINITION 
정의 DEF definition 
데이터 DATA DATA 
예상후 EXAF expect after 
 DATA DATA DATA 
부외 EX EX 
평가이익 EVPF evaluation profit 
 DATES DATES DATES 
 DATETIME DATETIME DATETIME 
일간 DAY DAY 
기법 MTHD Method 
 MTM MTM MARK TO MARKET 
 MTN MTN MID TERM NOTE 
증거 EVDC evidence 
명도 EVCT evacuation 
전용율 EUSE_PRBL exclusive use probability 
원자재 MTRL material 
원재료 MTRL material 
위탁사 ETRC entrust company 
 ETC5 ETC5 ETC5 
 ETC4 ETC4 ETC4 
보안 MTSC the maintenance security 
안건 MTTR matter 
동기 MTV MOTIVATION 
잡이익 ETC_PRFT etcetera profit 
기타 ETC etcetera 
기타세 ETAX etctax 
입주 MVIN MOVE INTO 
동정 MVMN movements 
기동 MVMT movement 
산정 ESTM ESTIMATE 
 ESTIMATE ESTIMATE ESTIMATE 
이동전화 MVPH movement telephone 
자점 MYBR my branch 
임원정보 ES ES 
 ERROR ERROR ERROR 
명칭 NAME name 
성명 NAME name 
구비 EQP equip 
 NAME NAME NAME 
 ENTITY ENTY entity 
참가 ENTY entry 
외국인 FRMN a foreigner 
 ENTERED ENTERED ENTERED 
장표 FRMP FORM PAPER 
 FRN FRN FLOATING RATE NOTE 
정식명 FRNM formular name 
 SUB SUB SUB 
 FROM FROM from 
 FRQ FRQ FREQUENCY 
전략 STRT strategy 
노동쟁의 STRK STRIKE 
 STRIKE STRIKE STRIKE 
 2차 ORD2 SECEND ORDER 
용적률 FSIN floor space index 
금융감독원 FSS Finacial Supervisory Service 
 FSS FSS FINANCIAL SUPERVISORY SERVICE 
 FIRST FST FIRST 
단수주 FSTC fraction stock 
 SMS서비스 SMS Short Message Service 
 SIMPLE SMPL SIMPLE 
동월 SMMM SAME MONTH 
 FT100 FT100 FT100 
소금고 SMCB a small cashbox 
정시 FTME FIXED TIME 
기능 FTN function 
선택번호 SLNO SELECTION NUMBER 
 FTP FTP file transfer protocol 
채택 SLCT select 
선택 SLCT selection 
선정 SLCT select 
응답 RSPN response 
연료 FUEL fuel 
사유명 RSN_NM reason name 
 FUNCTION FUNC FUNCTION 
실적 RSLT results 
준비금 RSFD a reserve fund 
 FUND FUND FUND 
지급준비율 RRPR ready rate for providing 
재접수 RRCP re_receipt 
주문 RQST request 
 FUTURE FUTURE FUTURE 
즐겨찾기 FVRT FAVORITE 
요청자 RQMN request man 
 FX FX FX cable charge 
상환계획 RPSH repay schedule 
고정성 FXTP fix type 
 GAB GAB GAB 
대표자명 RPNM represent man's name 
환불 RPMT repayment 
 REPLY RPLY  
회답 RPLY REPLY 
 GAP GAP GAP 
